method,chunk_size,chunk_overlap,temperature,model_name,error,faithfulness,rougeL,bertscore,summary_len,n_passes,answer_correctness
map_reduce,800,120,0.0,gpt-4o-mini,"To be able to use evaluate-metric/bertscore, you need to install the following dependencies['bert_score'] using 'pip install bert_score' for instance'",,,,,,
map_reduce,800,120,0.2,gpt-4o-mini,,0.9428571428571428,0.2698706099815156,0.8346647620201111,2175.0,,
map_reduce,800,200,0.0,gpt-4o-mini,,0.9736842105263158,0.2460456942003515,0.8343877792358398,2294.0,,
map_reduce,800,200,0.2,gpt-4o-mini,,,0.1216509775524982,0.8261711001396179,7062.0,,
map_reduce,800,300,0.0,gpt-4o-mini,,0.9696969696969696,0.2552380952380952,0.8307403326034546,2108.0,,
map_reduce,800,300,0.2,gpt-4o-mini,,0.9722222222222222,0.2710622710622711,0.8299134373664856,2205.0,,
map_reduce,1200,120,0.0,gpt-4o-mini,,0.9714285714285714,0.2706766917293233,0.8313800096511841,2125.0,,
map_reduce,1200,120,0.2,gpt-4o-mini,,0.9736842105263158,0.2539682539682539,0.8312504291534424,2324.0,,
map_reduce,1200,200,0.0,gpt-4o-mini,,0.2962962962962963,0.2352941176470588,0.8318222165107727,1649.0,,
map_reduce,1200,200,0.2,gpt-4o-mini,,0.7857142857142857,0.2579185520361991,0.833620011806488,1610.0,,
map_reduce,1200,300,0.0,gpt-4o-mini,,0.0,0.2350332594235033,0.8352196216583252,1620.0,,
map_reduce,1200,300,0.2,gpt-4o-mini,,1.0,0.2684824902723735,0.8324936032295227,2009.0,,
map_reduce,1600,120,0.0,gpt-4o-mini,,0.935483870967742,0.2591093117408906,0.830204427242279,1912.0,,
map_reduce,1600,120,0.2,gpt-4o-mini,,0.9642857142857144,0.2446351931330471,0.834816038608551,1694.0,,
map_reduce,1600,200,0.0,gpt-4o-mini,,0.9736842105263158,0.2556131260794473,0.8259792923927307,2325.0,,
map_reduce,1600,200,0.2,gpt-4o-mini,,0.9655172413793104,0.2627118644067796,0.8339259624481201,1763.0,,
map_reduce,1600,300,0.0,gpt-4o-mini,,0.9393939393939394,0.2568093385214007,0.8306054472923279,1992.0,,
map_reduce,1600,300,0.2,gpt-4o-mini,,0.9411764705882352,0.2608695652173913,0.8363893032073975,2102.0,,
refine,800,120,0.0,gpt-4o-mini,,1.0,0.2469635627530364,0.8349139094352722,1844.0,,
refine,800,120,0.2,gpt-4o-mini,,0.7941176470588235,0.2565055762081785,0.8297973275184631,2120.0,,
refine,800,200,0.0,gpt-4o-mini,,0.0,0.2271805273833671,0.8336572647094727,1872.0,,
refine,800,200,0.2,gpt-4o-mini,,0.9722222222222222,0.2597402597402597,0.8295595049858093,2145.0,,
map_reduce,800,120,0.0,gpt-4o-mini,,0.9130434782608696,0.3185378590078329,0.8210029006004333,2809.0,1.0,
map_reduce,800,120,0.0,gpt-4o-mini,,0.8518518518518519,0.2961672473867596,0.8461210131645203,1670.0,2.0,
map_reduce,800,120,0.0,gpt-4o-mini,,0.0,0.3333333333333333,0.8499612808227539,1747.0,3.0,
map_reduce,800,120,0.2,gpt-4o-mini,,0.972972972972973,0.3448275862068966,0.8352680802345276,2211.0,1.0,
map_reduce,800,120,0.2,gpt-4o-mini,,0.6304347826086957,0.3346203346203346,0.8284070491790771,2841.0,2.0,
map_reduce,800,120,0.2,gpt-4o-mini,,,0.2566844919786096,0.8329991698265076,7043.0,3.0,
map_reduce,800,200,0.0,gpt-4o-mini,,0.6666666666666666,0.2832167832167832,0.8404896259307861,1631.0,1.0,
map_reduce,800,200,0.0,gpt-4o-mini,,0.037037037037037,0.3029259896729775,0.8476627469062805,1655.0,2.0,
map_reduce,800,200,0.0,gpt-4o-mini,,0.3125,0.2377179080824088,0.8312636613845825,1953.0,3.0,
map_reduce,800,200,0.2,gpt-4o-mini,,0.0,0.3204697986577181,0.8145609498023987,5315.0,1.0,
map_reduce,800,200,0.2,gpt-4o-mini,,0.9736842105263158,0.363905325443787,0.8367815017700195,2294.0,2.0,
map_reduce,800,200,0.2,gpt-4o-mini,,0.9705882352941176,0.231839258114374,0.8231391310691833,2125.0,3.0,
map_reduce,800,300,0.0,gpt-4o-mini,,0.9714285714285714,0.3012422360248447,0.8291915059089661,2056.0,1.0,
map_reduce,800,300,0.0,gpt-4o-mini,,0.9655172413793104,0.3551088777219431,0.8443073630332947,1805.0,2.0,
map_reduce,800,300,0.0,gpt-4o-mini,,0.975609756097561,0.3903818953323903,0.8344733715057373,2469.0,3.0,
map_reduce,800,300,0.2,gpt-4o-mini,,0.75,0.2740740740740741,0.8503592610359192,1487.0,1.0,
map_reduce,800,300,0.2,gpt-4o-mini,,1.0,0.4,0.8328508138656616,2108.0,2.0,
map_reduce,800,300,0.2,gpt-4o-mini,,0.8571428571428571,0.3944723618090452,0.8565433621406555,2875.0,3.0,
map_reduce,1200,120,0.0,gpt-4o-mini,,0.913793103448276,0.2633355840648211,0.8351497650146484,6967.0,1.0,
map_reduce,1200,120,0.0,gpt-4o-mini,,0.9333333333333332,0.3466666666666667,0.8437095284461975,1836.0,2.0,
map_reduce,1200,120,0.0,gpt-4o-mini,,0.32,0.232394366197183,0.8413540124893188,1581.0,3.0,
map_reduce,1200,120,0.2,gpt-4o-mini,,0.9142857142857144,0.3236641221374046,0.8333202004432678,2115.0,1.0,
map_reduce,1200,120,0.2,gpt-4o-mini,,0.96875,0.2302631578947368,0.8284019827842712,1898.0,2.0,
map_reduce,1200,120,0.2,gpt-4o-mini,,0.875,0.2408874801901743,0.8308572769165039,1993.0,3.0,
map_reduce,1200,200,0.0,gpt-4o-mini,,0.9393939393939394,0.3106180665610142,0.8338622450828552,1986.0,1.0,
map_reduce,1200,200,0.0,gpt-4o-mini,,0.9107142857142856,0.2726008344923505,0.8299689292907715,6796.0,2.0,
map_reduce,1200,200,0.0,gpt-4o-mini,,0.9824561403508772,0.3471444568868981,0.8239716291427612,3535.0,3.0,
map_reduce,1200,200,0.2,gpt-4o-mini,,0.1666666666666666,0.3071161048689139,0.8323102593421936,2971.0,1.0,
map_reduce,1200,200,0.2,gpt-4o-mini,,0.2571428571428571,0.2817764165390505,0.8358887434005737,2120.0,2.0,
map_reduce,1200,200,0.2,gpt-4o-mini,,0.9629629629629628,0.2504347826086956,0.839972972869873,1675.0,3.0,
map_reduce,1200,300,0.0,gpt-4o-mini,,0.5416666666666666,0.3020257826887661,0.849169135093689,1453.0,1.0,
map_reduce,1200,300,0.0,gpt-4o-mini,,0.967741935483871,0.3257328990228013,0.8369455337524414,1920.0,2.0,
map_reduce,1200,300,0.0,gpt-4o-mini,,0.925925925925926,0.2377622377622377,0.8395031094551086,1665.0,3.0,
map_reduce,1200,300,0.2,gpt-4o-mini,,0.8333333333333334,0.2894248608534323,0.8518667817115784,1428.0,1.0,
map_reduce,1200,300,0.2,gpt-4o-mini,,0.9696969696969696,0.3413078149920255,0.8365210890769958,1993.0,2.0,
map_reduce,1200,300,0.2,gpt-4o-mini,,1.0,0.2911208151382824,0.823434591293335,2333.0,3.0,
map_reduce,1600,120,0.0,gpt-4o-mini,,0.4074074074074074,0.3550087873462215,0.8518837690353394,1622.0,1.0,
map_reduce,1600,120,0.0,gpt-4o-mini,,,0.2626262626262626,0.8334788680076599,7041.0,2.0,
map_reduce,1600,120,0.0,gpt-4o-mini,,0.375,0.403041825095057,0.853328287601471,2847.0,3.0,
map_reduce,1600,120,0.2,gpt-4o-mini,,0.0,0.2614173228346456,0.8339396119117737,1987.0,1.0,
map_reduce,1600,120,0.2,gpt-4o-mini,,,0.2757201646090535,0.8284849524497986,6763.0,2.0,
map_reduce,1600,120,0.2,gpt-4o-mini,,0.7592592592592593,0.3819691577698695,0.8563287854194641,3182.0,3.0,
map_reduce,1600,200,0.0,gpt-4o-mini,,0.8076923076923077,0.3066037735849056,0.8313245177268982,3241.0,1.0,
map_reduce,1600,200,0.0,gpt-4o-mini,,0.6,0.2272727272727273,0.8321168422698975,1876.0,2.0,
map_reduce,1600,200,0.0,gpt-4o-mini,,0.0,0.3834319526627219,0.8551114797592163,3177.0,3.0,
map_reduce,1600,200,0.2,gpt-4o-mini,,0.5862068965517241,0.2508361204013378,0.8343217968940735,1777.0,1.0,
map_reduce,1600,200,0.2,gpt-4o-mini,,0.3333333333333333,0.3225806451612903,0.8357906341552734,2123.0,2.0,
map_reduce,1600,200,0.2,gpt-4o-mini,,0.9666666666666668,0.3043478260869565,0.8370055556297302,1824.0,3.0,
map_reduce,1600,300,0.0,gpt-4o-mini,,0.7741935483870968,0.3447154471544715,0.8374374508857727,1911.0,1.0,
map_reduce,1600,300,0.0,gpt-4o-mini,,0.7741935483870968,0.2912621359223301,0.8382623791694641,1889.0,2.0,
map_reduce,1600,300,0.0,gpt-4o-mini,,0.9642857142857144,0.2788296041308089,0.8462460041046143,1700.0,3.0,
map_reduce,1600,300,0.2,gpt-4o-mini,,0.96875,0.3564668769716088,0.8390407562255859,2047.0,1.0,
map_reduce,1600,300,0.2,gpt-4o-mini,,0.0,0.232114467408585,0.8381879329681396,1938.0,2.0,
map_reduce,1600,300,0.2,gpt-4o-mini,,0.9696969696969696,0.3662420382165605,0.837059736251831,2017.0,3.0,
refine,800,120,0.0,gpt-4o-mini,,0.8723404255319149,0.412291933418694,0.8551114797592163,2751.0,1.0,
refine,800,120,0.0,gpt-4o-mini,,0.6551724137931034,0.2089041095890411,0.8407620787620544,1680.0,2.0,
refine,800,120,0.0,gpt-4o-mini,,0.1034482758620689,0.2779661016949152,0.8371989130973816,1764.0,3.0,
refine,800,120,0.2,gpt-4o-mini,,0.9393939393939394,0.3018867924528302,0.8306003212928772,2045.0,1.0,
refine,800,120,0.2,gpt-4o-mini,,0.9393939393939394,0.2139384116693679,0.8250159621238708,1941.0,2.0,
refine,800,120,0.2,gpt-4o-mini,,0.9375,0.3111831442463533,0.8377252221107483,1933.0,3.0,
refine,800,200,0.0,gpt-4o-mini,,0.9642857142857144,0.3190394511149227,0.8453186750411987,1698.0,1.0,
refine,800,200,0.0,gpt-4o-mini,,0.9,0.2561576354679803,0.8352335095405579,1841.0,2.0,
refine,800,200,0.0,gpt-4o-mini,"(MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /api/models/roberta-large/tree/main/additional_chat_templates?recursive=False&expand=False (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000274674D5550>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""), '(Request ID: 57c7248f-6f02-4741-a261-6b6a6b72212e)')",,,,,3.0,
refine,800,200,0.2,gpt-4o-mini,"(MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /api/models/roberta-large/tree/main/additional_chat_templates?recursive=False&expand=False (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000274702348E0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""), '(Request ID: dbd6ad6d-4f70-44b4-beaa-f4cf6adf1cdb)')",,,,,1.0,
refine,800,200,0.2,gpt-4o-mini,"(MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /api/models/roberta-large/tree/main/additional_chat_templates?recursive=False&expand=False (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000274685F19A0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""), '(Request ID: 455f87fb-3ce3-4364-9886-e5123bf38df9)')",,,,,2.0,
refine,800,200,0.2,gpt-4o-mini,"(MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /api/models/roberta-large/tree/main/additional_chat_templates?recursive=False&expand=False (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1129)')))""), '(Request ID: e6328bf1-a513-47f6-a979-7935cde1f637)')",,,,,3.0,
refine,800,300,0.0,gpt-4o-mini,,0.0,0.0,0.7593173384666443,42.0,1.0,
refine,800,300,0.0,gpt-4o-mini,,0.9666666666666668,0.2079207920792079,0.8368580937385559,1814.0,2.0,
refine,800,300,0.0,gpt-4o-mini,,0.903846153846154,0.3937198067632849,0.8551114797592163,3062.0,3.0,
refine,800,300,0.2,gpt-4o-mini,"(MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /api/models/roberta-large/tree/main/additional_chat_templates?recursive=False&expand=False (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002747773B670>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""), '(Request ID: 4aad32bd-122f-4b4e-9ea7-c9d7f270aabe)')",,,,,1.0,
refine,800,300,0.2,gpt-4o-mini,,0.9615384615384616,0.3159784560143627,0.8479632139205933,1592.0,2.0,
refine,800,300,0.2,gpt-4o-mini,,0.3333333333333333,0.3492586490939044,0.847093939781189,1870.0,3.0,
refine,1200,120,0.0,gpt-4o-mini,,,0.2799422799422799,0.8286358118057251,6474.0,1.0,
refine,1200,120,0.0,gpt-4o-mini,,0.972972972972973,0.3268945022288261,0.8310205340385437,2268.0,2.0,
refine,1200,120,0.0,gpt-4o-mini,,0.0,0.2350936967632027,0.836408257484436,1740.0,3.0,
refine,1200,120,0.2,gpt-4o-mini,,0.9285714285714286,0.2465753424657534,0.8386224508285522,1747.0,1.0,
map_reduce,800,120,0.0,gpt-4o-mini,The metric [answer_correctness] that is used requires the following additional columns ['reference'] to be present in the dataset.,,,,,1.0,
map_reduce,800,120,0.0,gpt-4o-mini,,0.9705882352941176,0.29538461538461536,0.8345149755477905,2064.0,1.0,0.43379131085647366
